environment,neural network type,random seed for environment,population size,number generations,sigma,number fitness runs,number neurons,delta t,optimize state boundaries,optimize y0,set principle diagonal elements of W negative,clipping range,use biases,number neurons layer1,number neurons layer2,maximum average,maximum,directory
Hopper-v2,CTRNN,0,100,2500,2.0,1,3,0.05,True,True,False,,,,,1465.703181250241,2780.220235266112,2020-05-15_07-09-38
Walker2d-v2,CTRNN,2,200,2500,1.0,1,20,0.05,True,False,True,,,,,3001.937727684566,3615.960223578626,2020-05-10_22-51-41
Walker2d-v2,CTRNN,1,200,2500,1.0,1,30,0.05,True,False,False,,,,,1425.4530377997278,1754.1232196885364,2020-05-11_07-40-54
HalfCheetah-v2,CTRNN,1,200,2500,1.0,1,50,0.05,False,True,True,1.0,,,,850.1125109020958,1064.6362850324683,2020-05-09_12-31-05
Hopper-v2,CTRNN,2,200,2500,0.5,1,5,0.05,True,False,False,,,,,1782.5235943980197,1797.0676396580013,2020-05-15_03-00-50
Ant-v2,CTRNN,2,100,2500,0.5,1,10,0.05,False,True,True,1.0,,,,52.04532244011465,167.87970109648202,2020-05-14_18-12-42
Walker2d-v2,CTRNN,2,100,2500,2.0,1,10,0.05,False,False,False,1.0,,,,1518.0535964577205,1630.8090726045866,2020-05-12_16-00-24
Hopper-v2,CTRNN,3,100,2500,0.5,1,8,0.05,False,True,True,1.0,,,,3092.5149655269106,3615.6783786737274,2020-05-14_22-44-52
Hopper-v2,LNN,3,200,2500,2.0,1,,,,,,,False,4,2,280.0209123663368,1012.321583628485,2020-05-15_22-31-26
HalfCheetah-v2,CTRNN,2,200,2500,1.0,1,20,0.05,True,True,False,,,,,3864.0083697513683,4053.29335745253,2020-05-08_16-17-24
Walker2d-v2,LNN,0,200,2500,1.0,1,,,,,,,False,32,16,1950.3294232219785,2871.4737875112314,2020-05-08_01-56-53
Reacher-v2,CTRNN,0,200,2500,1.0,50,10,0.05,False,True,True,1.0,,,,-5.210485866922518,-5.138274992549445,2020-05-17_23-50-47
HalfCheetah-v2,CTRNN,4,100,2500,1.0,1,50,0.05,False,True,False,1.0,,,,770.1248116687202,950.9493378627336,2020-05-12_10-26-33
HalfCheetah-v2,CTRNN,0,26,2500,2.0,1,30,0.05,False,True,True,3.0,,,,716.7070425910063,933.4839927987456,2020-05-12_00-33-29
Walker2d-v2,CTRNN,4,200,2500,1.0,1,50,0.05,False,False,True,3.0,,,,1323.4021622221812,1647.8564990839614,2020-05-11_00-52-46
HalfCheetah-v2,CTRNN,3,200,2500,1.0,1,50,0.05,False,True,True,1.0,,,,1116.9907763770084,1258.6649426343333,2020-05-09_20-08-51
Reacher-v2,CTRNN,0,200,2500,1.0,50,10,0.05,False,False,False,1.0,,,,-4.5729228515900795,-4.547447656960554,2020-05-17_21-35-42
HalfCheetah-v2,CTRNN,4,21,2500,0.5,1,10,0.05,False,True,False,1.0,,,,2373.8325005381284,3003.951540572223,2020-05-12_03-26-56
Walker2d-v2,CTRNN,3,500,2500,0.5,1,10,0.05,True,True,False,,,,,1479.1890653726643,1543.433281166824,2020-05-13_04-06-29
HalfCheetah-v2,CTRNN,0,24,2500,0.5,1,20,0.05,True,False,False,,,,,2371.4770635244663,2494.173012783197,2020-05-12_02-27-15
Hopper-v2,LNN,3,200,2500,2.0,1,,,,,,,False,6,3,1205.4606255450528,1254.9536153447948,2020-05-16_04-58-43
Walker2d-v2,CTRNN,0,100,2500,1.0,1,50,0.05,True,True,False,,,,,2595.1647802689367,3200.6480184384113,2020-05-12_23-22-29
Hopper-v2,CTRNN,0,500,2500,0.5,1,3,0.05,False,False,True,1.0,,,,2792.07415821941,2818.7598648739004,2020-05-14_23-26-09
Walker2d-v2,CTRNN,0,200,2500,1.0,1,20,0.05,True,False,True,,,,,3594.0066267991087,4606.530469940907,2020-05-10_17-24-51
HalfCheetah-v2,CTRNN,4,100,2500,0.5,1,30,0.05,False,True,False,3.0,,,,4019.2593867134683,4288.016855308994,2020-05-12_14-42-57
HalfCheetah-v2,CTRNN,4,500,2500,0.5,1,10,0.05,False,True,False,3.0,,,,1561.2766975847449,1599.1169748861423,2020-05-11_15-56-24
Ant-v2,CTRNN,0,200,2500,0.5,1,10,0.05,True,False,False,,,,,1580.2872481284153,2382.4834554071863,2020-05-14_13-34-51
Walker2d-v2,CTRNN,0,200,2500,1.0,1,20,0.05,True,True,True,,,,,2727.3267434865584,4548.238355460194,2020-05-10_09-24-07
Walker2d-v2,CTRNN,0,500,2500,2.0,1,30,0.05,True,True,False,,,,,2465.1401656229623,3652.384135271244,2020-05-14_06-49-56
Walker2d-v2,CTRNN,0,500,2500,1.0,1,20,0.05,True,True,False,,,,,2430.4186279254327,2735.9789455401315,2020-05-13_08-52-17
Hopper-v2,LNN,4,100,2500,2.0,1,,,,,,,False,8,4,2355.9589571438614,3010.3059953075062,2020-05-15_19-51-18
HalfCheetah-v2,CTRNN,1,500,2500,0.5,1,10,0.05,False,True,False,1.0,,,,1385.2643377309082,2602.96541029281,2020-05-14_11-25-34
Hopper-v2,CTRNN,2,100,2500,1.0,1,3,0.05,True,False,False,,,,,2682.4419107071903,3428.513009356944,2020-05-15_06-31-30
HalfCheetah-v2,CTRNN,4,26,2500,0.5,1,30,0.05,True,False,False,,,,,2353.663828386462,2705.8264503329474,2020-05-12_01-29-16
Hopper-v2,LNN,2,200,2500,1.0,1,,,,,,,True,8,4,1440.8987165841818,1654.0010118912294,2020-05-15_22-48-54
Walker2d-v2,CTRNN,2,200,2500,1.0,1,30,0.05,True,False,False,,,,,2642.4630730305776,3468.7839492168623,2020-05-08_21-33-03
Hopper-v2,CTRNN,4,200,2500,0.5,1,5,0.05,True,True,True,,,,,2643.7661595499826,3403.676529297546,2020-05-15_04-28-44
Hopper-v2,LNN,0,200,2500,1.0,1,,,,,,,True,6,3,1606.446104470374,1608.7788711103678,2020-05-16_03-29-49
HalfCheetah-v2,CTRNN,3,500,2500,0.5,1,50,0.05,False,False,True,1.0,,,,4417.833477604389,5263.096202067855,2020-05-13_15-12-46
Hopper-v2,LNN,0,200,2500,2.0,1,,,,,,,True,6,3,1033.9340599973623,1163.7654139090498,2020-05-16_06-26-06
Hopper-v2,CTRNN,1,200,2500,0.5,1,5,0.05,False,False,False,3.0,,,,1835.119922448768,1847.5760905261882,2020-05-14_21-15-25
HalfCheetah-v2,CTRNN,0,26,2500,1.0,1,30,0.05,True,False,False,,,,,2292.082793236064,3076.121831785995,2020-05-11_23-36-07
Hopper-v2,LNN,4,200,2500,1.0,1,,,,,,,False,4,2,1034.439696515858,1054.3404831156624,2020-05-15_14-42-17
HalfCheetah-v2,CTRNN,0,200,2500,1.0,1,30,0.05,False,True,False,3.0,,,,4460.371381781496,5208.695635490019,2020-05-10_19-18-03
HalfCheetah-v2,CTRNN,2,200,2500,1.0,1,20,0.05,True,False,True,,,,,3841.3716946468594,4056.512970164634,2020-05-10_16-14-23
Hopper-v2,LNN,3,100,2500,1.0,1,,,,,,,False,6,3,2967.782422075499,3041.239079287187,2020-05-16_02-07-41
Reacher-v2,CTRNN,0,500,2500,1.0,50,5,0.05,False,True,True,1.0,,,,-4.41421842136038,-4.408266760320425,2020-05-18_02-05-01
HalfCheetah-v2,CTRNN,2,500,2500,2.0,1,10,0.05,False,False,True,1.0,,,,1577.2866025915137,1812.7769640429942,2020-05-13_13-04-05
HalfCheetah-v2,CTRNN,2,200,2500,1.0,1,30,0.05,True,True,False,,,,,1556.2431378767856,1695.7815815071178,2020-05-08_23-54-57
Walker2d-v2,CTRNN,1,200,2500,1.0,1,30,0.05,True,True,False,,,,,2355.360555915925,2868.1384928682305,2020-05-09_17-40-01
Walker2d-v2,CTRNN,4,28,2500,1.0,1,50,0.05,False,True,False,3.0,,,,1086.1045147614168,1327.4409377517966,2020-05-12_05-04-28
HalfCheetah-v2,LNN,3,200,2500,1.0,1,,,,,,,False,64,32,3401.615930066047,3602.8495151072066,2020-05-08_11-49-34
Walker2d-v2,CTRNN,3,24,2500,2.0,1,20,0.05,True,False,False,,,,,2481.798272835303,2706.4345573874984,2020-05-12_02-54-05
Hopper-v2,LNN,4,100,2500,2.0,1,,,,,,,False,4,2,2990.561104065633,3027.4462186152964,2020-05-15_20-26-33
HalfCheetah-v2,CTRNN,0,200,2500,1.0,1,20,0.05,False,True,False,3.0,,,,1597.4598578636014,1694.2067916057417,2020-05-11_06-31-10
Hopper-v2,LNN,4,500,2500,1.0,1,,,,,,,False,6,3,284.4379301224661,1025.8398323814222,2020-05-16_00-02-30
HalfCheetah-v2,LNN,4,200,2500,1.0,1,,,,,,,False,64,32,802.3269851595063,994.6137140095,2020-05-08_03-57-21
Hopper-v2,CTRNN,0,200,2500,1.0,1,20,0.05,False,True,False,1.0,,,,3070.507376390295,3720.355276476195,2020-05-07_03-00-26
Walker2d-v2,CTRNN,4,100,2500,0.5,1,30,0.05,False,False,False,3.0,,,,3200.3634838473677,3876.207289431357,2020-05-12_21-47-39
Walker2d-v2,CTRNN,1,100,2500,0.5,1,50,0.05,True,False,False,,,,,2493.124622927896,3725.5062776058817,2020-05-12_17-08-01
Walker2d-v2,CTRNN,1,500,2500,2.0,1,50,0.05,True,False,True,,,,,2954.782008377421,3608.789661613127,2020-05-13_22-12-38
Hopper-v2,CTRNN,0,200,2500,1.0,1,30,0.05,False,True,True,1.0,,,,2682.9206852585417,3714.8402044790023,2020-05-07_18-35-15
Hopper-v2,LNN,0,200,2500,1.0,1,,,,,,,True,32,16,1212.3133531019196,1689.0775009274662,2020-05-07_17-03-40
HalfCheetah-v2,CTRNN,4,200,2500,1.0,1,50,0.05,True,False,False,,,,,1533.9004557019832,1677.5294085234248,2020-05-10_11-11-08
Hopper-v2,LNN,2,100,2500,2.0,1,,,,,,,True,8,4,1640.8566704555994,1674.808640242838,2020-05-16_02-46-51
HalfCheetah-v2,CTRNN,0,24,2500,0.5,1,20,0.05,False,False,True,1.0,,,,4376.756743505646,5099.53969472061,2020-05-12_03-42-02
HalfCheetah-v2,CTRNN,3,200,2500,1.0,1,30,0.05,False,True,False,3.0,,,,797.2362179096258,947.8296569294424,2020-05-10_21-04-45
Hopper-v2,CTRNN,0,200,2500,1.0,1,8,0.05,False,False,False,3.0,,,,1619.7115660129837,1650.2647757131429,2020-05-15_08-22-42
Walker2d-v2,CTRNN,3,200,2500,1.0,1,50,0.05,False,True,True,3.0,,,,2957.5039272402764,4436.94542302988,2020-05-09_01-45-52
Walker2d-v2,CTRNN,2,200,2500,1.0,1,20,0.05,True,True,True,,,,,2820.447983506312,3602.5198711752782,2020-05-10_07-28-23
Hopper-v2,CTRNN,0,100,2500,1.0,1,8,0.05,True,False,True,,,,,1689.9406887845387,1922.1626202458826,2020-05-15_07-40-48
Walker2d-v2,CTRNN,3,200,2500,1.0,1,50,0.05,False,False,True,3.0,,,,1577.1582696990092,2185.7698823660994,2020-05-09_07-07-00
Hopper-v2,LNN,0,200,2500,1.0,1,,,,,,,False,64,32,2394.727004548657,3554.177040121859,2020-05-07_20-19-47
HalfCheetah-v2,CTRNN,0,200,2500,1.0,1,30,0.05,False,True,False,1.0,,,,942.9624796648625,1223.761986807942,2020-05-08_09-58-09
Hopper-v2,CTRNN,0,200,2500,1.0,1,30,0.05,True,True,True,,,,,2575.2690198631503,3689.3404379889334,2020-05-06_20-26-45
Walker2d-v2,CTRNN,3,200,2500,1.0,1,10,0.05,False,True,False,1.0,,,,1504.4992581050228,1692.887854403615,2020-05-08_00-04-54
Ant-v2,CTRNN,1,500,2500,1.0,1,10,0.05,False,False,True,3.0,,,,-10.463601298608435,47.84955606628626,2020-05-14_19-04-11
Hopper-v2,CTRNN,0,200,2500,1.0,1,10,0.05,False,False,True,1.0,,,,3058.3546352948156,3687.62797458107,2020-05-06_17-14-07
Hopper-v2,LNN,3,200,2500,2.0,1,,,,,,,False,6,3,1237.7399783765788,1246.0841287301791,2020-05-16_00-43-20
Hopper-v2,LNN,3,100,2500,0.5,1,,,,,,,False,4,2,1653.6485925990464,1658.370446431299,2020-05-16_08-09-02
Walker2d-v2,CTRNN,4,200,2500,1.0,1,50,0.05,True,False,False,,,,,2661.096755936037,3549.478483297153,2020-05-11_10-24-12
HalfCheetah-v2,CTRNN,3,26,2500,1.0,1,30,0.05,False,False,False,1.0,,,,2790.2511375547156,3642.4607505236345,2020-05-12_04-07-49
Hopper-v2,CTRNN,0,200,2500,1.0,1,30,0.05,True,False,True,,,,,1062.6610431272047,1706.0684608525657,2020-05-06_23-35-10
Hopper-v2,CTRNN,1,500,2500,0.5,1,3,0.05,True,True,True,,,,,1138.3651884958754,1325.1949979782034,2020-05-15_09-45-58
Hopper-v2,LNN,4,200,2500,1.0,1,,,,,,,False,8,4,1646.9282196226416,1649.0783146630376,2020-05-15_13-19-28
Hopper-v2,LNN,2,100,2500,0.5,1,,,,,,,False,4,2,2714.0281158125554,2866.5870258443483,2020-05-15_21-06-29
Walker2d-v2,CTRNN,0,200,2500,1.0,1,50,0.05,True,True,True,,,,,3182.1474766737724,3797.466410455506,2020-05-10_01-42-16
Hopper-v2,LNN,2,100,2500,2.0,1,,,,,,,False,4,2,2802.0952179597975,2820.996478190219,2020-05-15_21-50-12
Hopper-v2,LNN,4,500,2500,2.0,1,,,,,,,False,8,4,1032.4041892049697,1176.3986520096491,2020-05-15_15-53-43
Walker2d-v2,CTRNN,1,200,2500,1.0,1,20,0.05,False,True,True,1.0,,,,1994.1758245018805,2746.330471283701,2020-05-08_17-28-37
Walker2d-v2,CTRNN,0,200,2500,1.0,1,30,0.05,False,False,False,3.0,,,,2227.8794730282307,3279.091427757082,2020-05-08_19-23-03
Hopper-v2,CTRNN,1,200,2500,1.0,1,20,0.05,False,False,True,1.0,,,,3066.8740379612673,3715.888508325824,2020-05-08_08-36-17
Hopper-v2,CTRNN,2,100,2500,2.0,1,3,0.05,False,False,True,1.0,,,,1743.1416417658247,1743.661767984404,2020-05-15_05-42-05
Walker2d-v2,CTRNN,4,500,2500,1.0,1,20,0.05,True,False,True,,,,,893.9832172003145,1415.0727006858926,2020-05-11_18-03-41
